Parent SKU,Variant SKU,seller-sku,asin1,item-name,Variation,Vartiation Qunatity,Multiple listing,listing-id,price,open-date,status,Taxonomy,T1,T2,T3,End Node,Manufacture Name,Manufacture Part#,Data Source Status,MFR HTML1,MFR HTML2,MFR PDF URL1,MFR PDF Page#1,MFR PDF URL2,MFR PDF Page#2,Image URL,Amazon Link,Third Party HTML 1,Third Party HTML 2,Feature Copy,Feature Bullet,Short Description,Video URL,EAN,Product Name,Attrname1,AttrValue1,AttrUnit1,Flag1,Attrname2,AttrValue2,AttrUnit2,Flag2,Attrname3,AttrValue3,AttrUnit3,Flag3,Attrname4,AttrValue4,AttrUnit4,Flag4,Attrname5,AttrValue5,AttrUnit5,Flag5,Attrname6,AttrValue6,AttrUnit6,Flag6,Attrname7,AttrValue7,AttrUnit7,Flag7,Attrname8,AttrValue8,AttrUnit8,Flag8,Attrname9,AttrValue9,AttrUnit9,Flag9,Attrname10,AttrValue10,AttrUnit10,Flag10,Attrname11,AttrValue11,AttrUnit11,Flag11,Attrname12,AttrValue12,AttrUnit12,Flag12,Attrname13,AttrValue13,AttrUnit13,Flag13,Attrname14,AttrValue14,AttrUnit14,Flag14,Attrname15,AttrValue15,AttrUnit15,Flag15,Attrname16,AttrValue16,AttrUnit16,Flag16,Attrname17,AttrValue17,AttrUnit17,Flag17,Attrname18,AttrValue18,AttrUnit18,Flag18,Attrname19,AttrValue19,AttrUnit19,Flag19,Attrname20,AttrValue20,AttrUnit20,Flag20,Attrname21,AttrValue21,AttrUnit21,Flag21,Fill Rate,Altius Remarks,PT Update/Not Update Status,Altius Comments,Data QC Comments,Data QC  Updated Status,Site Audit Comments,Site Audit Updated Status
Parent_1,Child_1,TK-K1Y2-KOXM,B00LHWEQUA,Wisdom Clean Between Interdental Brushes - Pack of 20 - Size Fine Blue 3 Pack,Y,3,Y,0518SF70M9Z,5.5,18/05/2017 23:05:39 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0030_web_4.jpg,https://www.amazon.com/Wisdom-Clean-Between-Interdental-Brushes/dp/B00LHWEQUA,https://www.nieboo.com/collections/for-them/products/3x-wisdom-clean-between-interdental-brushes-pack-of-20-size-fine-blue,https://www.paisawapas.com/p-3x-wisdom-clean-between-interdental-brushes-pack-of-20--size-fine-blue-13139197,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Fine Tip 60 Brush 3 Pack,https://youtu.be/9vjohSohYDo,0797978004832,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Blue,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Fine,,Legacy,Package Type,Pack,,,Number of Pieces,,,,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,Description Matched,Not Updated,Classified Based on Source information,,,,
Parent_1,Child_2,DQ-VLCK-D209,B00L383FGO,Wisdom Clean Between Interdental Brushes - Pack of 20 – Size Fine Blue 6 Pack,Y,6,Y,0607SX351DZ,8.34,07/06/2017 15:55:56 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0030_web_4.jpg,https://www.amazon.co.uk/Wisdom-Clean-Between-Interdental-Brushes/dp/B00L383FGO|https://www.amazon.in/Wisdom-Clean-Between-Interdental-Brushes/dp/B00L383FGO,https://www.fishpond.co.nz/Health/6x-Wisdom-Clean-Between-Interdental-Brushes-Pack-of-20-Size-Fine-Blue-by-Wisdom/9999577389260,https://www.weldricks.co.uk/products/wisdom-clean-between-interdental-brushes-pack-of-20?gclid=EAIaIQobChMIx_vZ-dmp4QIVirXtCh01XQR0EAMYAiAAEgI93_D_BwE,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Fine Tip 120 Brush 6 Pack,https://youtu.be/9vjohSohYDo,0790295197799,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Blue,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Fine,,Legacy,Package Type,Pack,,,Number of Pieces,,,,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,Description Matched,Not Updated,Classified Based on Source information,"<Tip Size>FINE,<Colour>BLUE",Updated,,
Parent_2,Child_1,T3-ABKE-FQOG,B00L38EPW2,"Wisdom Clean Between Interdental Large Purple Brushes - Pack of 3, Total 60",Y,3,Y,0518SF76FGT,5.3,18/05/2017 23:06:30 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0032_web.jpg,https://www.amazon.co.uk/Wisdom-Between-Interdental-Purple-Brushes-x/dp/B00L38EPW2/ref=sr_1_1?ie=UTF8&qid=1553582936&sr=8-1&keywords=Wisdom+Clean+Between+Interdental+Large+Purple+Brushes+-+Pack+of+3%2C+Total+60,https://www.dentalsky.com/wisdom-clean-between-interdental-brushes-large-purple-20.html,https://www.growingsmiles.co.uk/shop/wisdom-clean-between/,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Large Tip 60 Brush 3 Pack,https://youtu.be/9vjohSohYDo,5055586679916,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Purple,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Large,,Legacy,Package Type,Pack,,,Number of Pieces,,,Legacy,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,Description Matched,Updated,,,,,
Parent_2,Child_2,U8-BPRS-RQ22,B00L38FD1Y,"Wisdom Clean Between Interdental Large Purple Brushes - Pack of 6, Total 120",Y,6,Y,0607SXCJZGZ,8.34,07/06/2017 16:46:53 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0032_web.jpg,https://www.amazon.co.uk/Wisdom-Between-Interdental-Purple-Brushes/dp/B01KYJPIDK,https://www.ebay.co.uk/p/wisdom-Clean-Between-Teeth-Interdental-Large-Purple-Brushes-6pce-Total-120/2135833271,https://www.dentalsky.com/wisdom-clean-between-interdental-brushes-medium-green-20.html,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Large Tip 120 Brush 6 Pack,https://youtu.be/9vjohSohYDo,5055586679923,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Purple,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Large,,Legacy,Package Type,Pack,,,Number of Pieces,,,Legacy,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,,Updated,,,,,
Parent_3,Child_1,7W-35IL-WMM2,B00L38BV92,"Wisdom Clean Between Interdental Medium Green Brushes - Pack of 6, Total 120",Y,6,Y,0801SFJSKIH,7.75,01/08/2017 16:08:15 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0031_web.jpg,https://www.amazon.co.uk/Wisdom-Clean-Between-Interdental-Brushes/dp/B00L38BV92,https://bargainspro.co.uk/product/wisdom-clean-between-interdental-medium-green-brushes-pack-of-6-total-120-120-brushes/,https://www.dentalsky.com/wisdom-clean-between-interdental-brushes-medium-green-20.html,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Medium Tip 120 Brush 6 Pack,https://youtu.be/9vjohSohYDo,3574660261349,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Green,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Medium,,Legacy,Package Type,Pack,,,Number of Pieces,,,Legacy,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,"Description Matched, Size Varied",Updated,,,,,
Parent_3,Child_2,IA-O8EL-7XDA,B00L38CLKU,"Wisdom WIS6565 Medium Green Clean Between Interdental Brushes - Pack of 3, Total 60",Y,3,Y,0518SF73P1H,5.5,18/05/2017 23:06:04 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,Wisdom,,Found,https://wisdom-toothbrushes.com/products/clean-between-brushes/,,,,,,https://cdn.dentalsky.com/media/catalog/product/cache/1/image/585x585/9df78eab33525d08d6e5fb8d27136e95/2/7/270-0031_web.jpg,https://www.amazon.com/Wisdom-WIS6565-Between-Interdental-Brushes/dp/B00L38CLKU|https://www.amazon.in/Wisdom-WIS6565-Between-Interdental-Brushes/dp/B00L38CLKU,https://www.pinterest.com/pin/676595543994427038/,https://picclick.co.uk/Wisdom-WIS6565-Medium-Green-Clean-Between-Interdental-Brushes-401707020849.html,"Wisdom Clean Between brushes are a great solution for cleaning between the teeth, especially if you have previously found flossing difficult. The tapered design allows the brush to slide easily between teeth whilst the soft rubber coating makes them gentle on gums.As they are wire free Clean Between brushes are also ideal for cleaning around orthodontic appliances, implants, metal fillings and crowns.","•Soft rubber filaments for gentle cleaning and effective removal of plaque and food particles|•Thin, tapered design for easy access to small spaces|•Convenient, disposable design",Wisdom® Interdental Brush Soft Rubber Filament Thin and Tapered Medium Tip 60 Brush 3 Pack,https://youtu.be/9vjohSohYDo,5028763002210,Interdental Brush,Brand,Wisdom®,,,Product Type,Interdental Brush,,,Used For,Gentle Cleaning and Effective Removal of Plaque and Food Particles,,,Special Features,"Disposable Design, Wire Free, Different Sizes to Suit Different Gap Sizes",,,Bristle Type,Soft Rubber Filament,,,Head Type,"Thin, Tapered",,,Colour,Green,,,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,Medium,,Legacy,Package Type,Pack,,,Number of Pieces,,,Legacy,Package Quantity,,,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.86,Description Matched,Updated,,,,,
Parent_4,Child_1,9Z-UKT2-CDIJ,B015PM58UY,Tepe Orange Interdental brush 0.45mm 25 Pack,N,,,0110U0VESP5,10.85,10/01/2018 13:02:12 GMT,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,TePe,,Found,https://www.tepeusa.com/products/tepe-interdental-brushes-original-25-pack,https://www.tepe.com/ie/products/interdental-brushes/original/p-mixed-pack/|https://www.tepeusa.com/products/tepe-interdental-brushes-original-25-pack,,,,,https://www.tepe.com/media/1234/idb_orange_main.jpg?width=600&height=600,https://www.amazon.com/TePe-0-45-Size-Interdental-Brush/dp/B015PM58UY,https://www.ebay.co.uk/itm/TePe-Interdental-Brushes-in-Various-Colours-and-Sizes-Pack-of-25/182553947784?hash=item2a81102e88:m:myCCsVRQXVAS1BsmvFN3A2g,https://www.willowsdental.net/shop/sku/24/tepe-orange-045-mm-interdental-brush,"A special brush by TePe designed to clean average sized gaps between your teeth where a regular toothbrush is unable to reach, giving your gums and teeth a fresh and clean feeling - every day. TePe Interdental Brushes come in a range of sizes, designs and filament types. The updated colour scheme is based on ISO-certificated standards and allows quick identification of the perfect brush size. Daily use can remove 40% more plaque than through brushing alone. Effective plaque control with the help of TePe brushes can prevent tooth decay/cavities, bleeding caused by gum disease and bad breath","•The TePe Interdental Brush Original is an easy and efficient way to help prevent inflamed gums, cavities and bad breath - giving you cleaner and healthier teeth|•A functional design with an ergonomically shaped handle and a flexible neck guarantees optimal access to the hardest-to-reach areas / Ideal for braces, implants, crowns as well as your natural teeth|•Items delivered: 1 x 8 TePe Mixed Pack Interdental brushes Original - 1 each of every size / Small reusable Brushes developed in close collaboration with dental experts (Made in Sweden)",Tepe® Interdental Brush Soft Filament Multi 0.45 mm Tip 25 Brush 1 Pack,https://youtu.be/IaBq-lAPJQ8,5055847607962,Interdental Brush,Brand,Tepe®,,,Product Type,Interdental Brush,,,Used For,"Gum Inflammation, Cavities, Bad Breath",,,Special Features,"Daily Use Can Remove 40% More Plaque than Through Brushing Alone, Small Reusable Brushes Developed in Close Collaboration with Dental Experts",,,Bristle Type,Soft Filament,,,Head Type,,,,Colour,,,Legacy,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,,,,Package Type,Pack,,,Number of Pieces,,,,Package Quantity,1,Pack,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71,,Updated,,,,,
Parent_4,Child_2,33-BZMK-KVB6,B001LQZ3FO,Tepe Yellow Interdental Brush 0.7mm 6 Pack,N,,,1003SA9GENN,2.5,03/10/2017 10:23:10 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,TePe,,Found,https://www.tepe.com/ie/products/interdental-brushes/original/p-yellow/,https://www.tepe.com/ie/products/interdental-brushes/original/p-mixed-pack/|https://www.tepeusa.com/products/tepe-interdental-brushes-original-25-pack,,,,,https://www.tepe.com/media/1364/idb_yellow_main.jpg?width=600&height=600,https://www.amazon.com/TePe-Interdental-Brush-Yellow-0-7mm/dp/B001LQZ3FO,https://www.ocado.com/webshop/product/TePe-Yellow-Interdental-Brush-07mm/45702011,https://www.boots.com/boots-expert-tepe-0-7mm-interdental-brush-6s-10126273,"A special brush by TePe designed to clean average sized gaps between your teeth where a regular toothbrush is unable to reach, giving your gums and teeth a fresh and clean feeling - every day. TePe Interdental Brushes come in a range of sizes, designs and filament types. The updated colour scheme is based on ISO-certificated standards and allows quick identification of the perfect brush size. Daily use can remove 40% more plaque than through brushing alone. Effective plaque control with the help of TePe brushes can prevent tooth decay/cavities, bleeding caused by gum disease and bad breath","•The TePe Interdental Brush Original is an easy and efficient way to help prevent inflamed gums, cavities and bad breath - giving you cleaner and healthier teeth|•A functional design with an ergonomically shaped handle and a flexible neck guarantees optimal access to the hardest-to-reach areas / Ideal for braces, implants, crowns as well as your natural teeth|•Items delivered: 1 x 8 TePe Mixed Pack Interdental brushes Original - 1 each of every size / Small reusable Brushes developed in close collaboration with dental experts (Made in Sweden)",Tepe® Interdental Brush Soft Filament Yellow 0.7 mm Tip 6 Brush 1 Pack,https://youtu.be/IaBq-lAPJQ8,0721864900250,Interdental Brush,Brand,Tepe®,,,Product Type,Interdental Brush,,,Used For,"Gum Inflammation, Cavities, Bad Breath",,,Special Features,"Daily Use Can Remove 40% More Plaque than Through Brushing Alone, Small Reusable Brushes Developed in Close Collaboration with Dental Experts",,,Bristle Type,Soft Filament,,,Head Type,,,,Colour,,,Legacy,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,,,,Package Type,Pack,,,Number of Pieces,,,Legacy,Package Quantity,1,Pack,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71,,Updated,,<Bristle Type>Confirm,Updated,,
Parent_4,Child_3,2V-LOTP-IB4H,B0044YL9Z8,Tepe Blue Interdental brush 0.6mm 25 Pack,N,,,0518SAAO57H,9.99,18/05/2017 14:41:14 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,TePe,,Found,https://www.tepe.com/ie/products/interdental-brushes/original/p-blue/,https://www.tepe.com/ie/products/interdental-brushes/original/p-mixed-pack/|https://www.tepeusa.com/products/tepe-interdental-brushes-original-25-pack,,,,,https://www.tepe.com/media/1228/idb_blue_main.jpg?width=600&height=600,https://www.amazon.in/Tepe-Interdental-Brush-Pieces-Packet/dp/B0044YL9Z8,https://www.onogo.com/health-beauty-dental-accessories/tepe-original-interdental-brushes-25-brushes-blue-06mm.html,https://compare.buyhatke.com/price/tepe-toothbrushes-tepe-interdental-brush-extra-soft-0-6mm-pack-of-25-blue-price-in-india-hatke226427,"A special brush by TePe designed to clean average sized gaps between your teeth where a regular toothbrush is unable to reach, giving your gums and teeth a fresh and clean feeling - every day. TePe Interdental Brushes come in a range of sizes, designs and filament types. The updated colour scheme is based on ISO-certificated standards and allows quick identification of the perfect brush size. Daily use can remove 40% more plaque than through brushing alone. Effective plaque control with the help of TePe brushes can prevent tooth decay/cavities, bleeding caused by gum disease and bad breath","•The TePe Interdental Brush Original is an easy and efficient way to help prevent inflamed gums, cavities and bad breath - giving you cleaner and healthier teeth|•A functional design with an ergonomically shaped handle and a flexible neck guarantees optimal access to the hardest-to-reach areas / Ideal for braces, implants, crowns as well as your natural teeth|•Items delivered: 1 x 8 TePe Mixed Pack Interdental brushes Original - 1 each of every size / Small reusable Brushes developed in close collaboration with dental experts (Made in Sweden)",Tepe® Interdental Brush Soft Filament Blue 0.6 mm Tip 25 Brush 1 Pack,https://youtu.be/IaBq-lAPJQ8,7317400015361,Interdental Brush,Brand,Tepe®,,,Product Type,Interdental Brush,,,Used For,"Gum Inflammation, Cavities, Bad Breath",,,Special Features,"Daily Use Can Remove 40% More Plaque than Through Brushing Alone, Small Reusable Brushes Developed in Close Collaboration with Dental Experts",,,Bristle Type,Soft Filament,,,Head Type,,,,Colour,,,Legacy,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,,,,Package Type,Pack,,,Number of Pieces,,,,Package Quantity,1,Pack,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71,,Updated,,,,,
Parent_4,Child_4,8Q-XG1R-WFZF,B0044Y51UW,Tepe Green Interdental Brush 0.8mm 25 Pack,N,,,0518S9X3Q4N,13.45,18/05/2017 14:02:56 BST,Inactive,Health & Beauty>Dental Care>Interdental Brushes,Health & Beauty,Dental Care,Interdental Brushes,Interdental Brushes,TePe,,Found,https://www.tepe.com/ie/products/interdental-brushes/original/p-green/,https://www.tepe.com/ie/products/interdental-brushes/original/p-mixed-pack/|https://www.tepeusa.com/products/tepe-interdental-brushes-original-25-pack,,,,,https://www.tepe.com/media/1235/idb_green_main.jpg?width=600&height=600,https://www.amazon.in/Tepe-Interdental-Brush-Pieces-Packet/dp/B0044Y51UW,https://www.importitall.co.za/TePe-Interdental-Brush-Original--Green-08mm-25-Pack-ap-B0044Y51UW.html,https://www.ubuy.mv/en/catalog/product/view/id/1137986/s/tepe-interdental-brush-original-green-0-/,"A special brush by TePe designed to clean average sized gaps between your teeth where a regular toothbrush is unable to reach, giving your gums and teeth a fresh and clean feeling - every day. TePe Interdental Brushes come in a range of sizes, designs and filament types. The updated colour scheme is based on ISO-certificated standards and allows quick identification of the perfect brush size. Daily use can remove 40% more plaque than through brushing alone. Effective plaque control with the help of TePe brushes can prevent tooth decay/cavities, bleeding caused by gum disease and bad breath","•The TePe Interdental Brush Original is an easy and efficient way to help prevent inflamed gums, cavities and bad breath - giving you cleaner and healthier teeth|•A functional design with an ergonomically shaped handle and a flexible neck guarantees optimal access to the hardest-to-reach areas / Ideal for braces, implants, crowns as well as your natural teeth|•Items delivered: 1 x 8 TePe Mixed Pack Interdental brushes Original - 1 each of every size / Small reusable Brushes developed in close collaboration with dental experts (Made in Sweden)",Tepe® Interdental Brush Soft Filament Green 0.8 mm Tip 25 Brush 1 Pack,https://youtu.be/IaBq-lAPJQ8,0845822001589,Interdental Brush,Brand,Tepe®,,,Product Type,Interdental Brush,,,Used For,"Gum Inflammation, Cavities, Bad Breath",,,Special Features,"Daily Use Can Remove 40% More Plaque than Through Brushing Alone, Small Reusable Brushes Developed in Close Collaboration with Dental Experts",,,Bristle Type,Soft Filament,,,Head Type,,,,Colour,,,Legacy,Organic (Yes/No),,,,Flexibility (Yes/No),Yes,,,Tip Size,,,,Package Type,Pack,,,Number of Pieces,,,,Package Quantity,1,Pack,,Country of Origin,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.71,,Updated,,,,,
